"id","make","model","bike_subtype","type","year","license_class","description","daily_price","price_per_hour","price_per_3h","price_per_6h","price_per_12h","rent_weekday","rent_weekend","rent_2_4d","rent_5_10d","rent_11_30d","deposit_rub","image_url","gallery","features","power_kw","motor_peak_kw","motor_nominal_kw","power_hp","torque_nm","top_speed_kmh","range_km","battery","voltage_v","weight_kg","seat_height_mm","brake_type","suspension_type","frame_type","drive","color","charge_time_h","engine_cc","fuel_type","fuel_capacity_l","transmission","cooling","rent_link","webapp_link","vk_url"
"ducati-panigale-s-electro-green","Ducati","Panigale S Electro Green Z","Электроспортбайк (реплика)","Electric","2025","B или M (электро, для дорог общего пользования)","Электроспортбайк Ducati Panigale S Electro Green — китайская реплика Panigale в зелёном. Мотор-колесо 5 кВт на мономаятнике, батарея 72V 120Ah, запас хода до 150 км. Права В или М1, без регистрации.","10000","1000","7000","8000","9000","10000","11500","8500","8000","7000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-green/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-green/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1, без регистрации; Светодиодная оптика","5","","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Зелёный","6–8","","","","","","","https://t.me/oneBikePlsBot/app?startapp=rent_ducati-panigale-s-electro-green",""
"hmd-m02","HMD","M02 (GT-EM07)","Электроэндуро","Electric","2025","Не требуются (электро-эндуро, не для дорог общего пользования)","HMD M02 (GT-EM07) — современный электрический эндуро для леса, грунта и активного отдыха. Лёгкий (71 кг), манёвренный, бесшумный. Колёса 17/14, запас хода до 60 км.","6000","600","4200","4800","5400","6000","7000","5000","4500","4000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/hmd-m02/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/hmd-m02/image_1.jpg","Мгновенная тяга; Бесшумная работа; Без бензина и масла; Лёгкий — 71 кг; Колёса 17/14; Класс М","3","4.5","3","","120","75","60","48V 25Ah","48","71","780","Гидравлические дисковые","","Стальная","Цепь","Чёрный","4–5","","","","","","/rent/hmd-m02","https://t.me/oneBikePlsBot/app?startapp=rent_hmd-m02",""
"honda-cbr600rr-2003","Honda","CBR600RR","Спортбайк, бензиновый","ICE","2003","A (бензиновый мотоцикл — требуется категория А)","Honda CBR600RR 2003 — спортбайк первого поколения RR (PC37): рядная четвёрка 599 куб. см с инжектором DSFI, 117 л.с. и 64 Нм. Перевёрнутая вилка HMAS, задняя подвеска Unit Pro-Link — первое применение на серийных Honda. Сухой вес 170 кг, тормоза 2×310 мм спереди. Категория А — полноценный спорт для опытных райдеров.","10000","1200","7000","8000","9000","10000","12000","9000","9000","7000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/honda-cbr600rr-2003/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/honda-cbr600rr-2003/image_1.jpg","Рядная четвёрка 599 куб. см; 117 л.с.; Инжектор DSFI (двухступенчатый впрыск); Перевёрнутая вилка HMAS с регулировками; Задняя подвеска Unit Pro-Link (первая на серийных Honda); Тормоза 2×310 мм спереди; 220 мм сзади; Короткоходная 6-ступенчатая КПП; Сухой вес 170 кг — лёгкий спорт; Категория А — полноценный спортбайк","87","","","117","64","257","","","","170 (сухой)","820","Дисковые (перед 2×310 мм, зад 220 мм)","Перевёрнутая вилка HMAS 45 мм, задний моноамортизатор Unit Pro-Link","Алюминиевая двухбалочная","Chain","Красный","","599","АИ-95","18","6-ступенчатая","Жидкостное","/rent/honda-cbr600rr-2003","https://t.me/oneBikePlsBot/app?startapp=rent_honda-cbr600rr-2003",""
"jilang-max-pro","Jilang","Max Pro","Макси-скутер","ICE","2023","A (бензиновый мотоцикл — требуется категория А)","Jilang Max Pro — стильный и доступный крузер с V-образным двухцилиндровым двигателем 250 куб. см (18 л.с., 17 Нм). Воздушно-масляное охлаждение, 5-ступенчатая КПП, дисковые тормоза. Полноценный мотоцикл категории А — отлично подходит для неспешной городской езды и загородных прогулок. Классический дизайн и комфортная посадка.","6000","1000","3000","4000","5000","6000","8000","5000","6500","3000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/jilang-max-pro/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/jilang-max-pro/image_1.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/jilang-max-pro/image_2.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/jilang-max-pro/image_3.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/jilang-max-pro/image_4.jpg","250cc V-twin двигатель, 18 л.с.; Охлаждение воздушно-масляное; 5-ступенчатая коробка передач; Дисковые тормоза; Классическая крузерская посадка; Кастомный внешний вид; Категория А — полноценный мотоцикл; Стальная рама","","","","18","17","120","","","","165","720","Дисковые","Телескопическая вилка спереди, двойные амортизаторы сзади","Стальная трубчатая","Chain","Чёрный","","250","АИ-92","14","5-ступенчатая","Воздушно-масляное","/rent/jilang-max-pro","https://t.me/oneBikePlsBot/app?startapp=rent_jilang-max-pro",""
"kawasaki-ex650k","Kawasaki","EX650K (Ninja 650)","Sport-Touring (ICE)","ICE","2019","A (бензиновый мотоцикл — требуется категория А)","Классический спорт-турист Kawasaki EX650K (Ninja 650): параллельный твин 649 см³, 68 л.с. (50.2 кВт), 65.7 Нм. 6-ступенчатая КПП, ABS, алюминиевая рама. Максимальная скорость 210 км/ч, бак 15 л. Посадка 790 мм — идеален для новичков и города. Категория А. Классический Kawasaki Green.","10000","1000","7000","8000","9000","10000","11000","9000","8000","7500","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/kawasaki-ex650k/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/kawasaki-ex650k/image_1.jpg","Параллельный двухцилиндровый двигатель 649 см³; 6-ступенчатая КПП; ABS; Алюминиевая рама типа периметр; Ветрозащита; Низкая посадка 790 мм — подходит для новичков; Категория А — полноценный мотоцикл","50.2","","","68","65.7","210","400","Бензин, 15 л","12","193","790","Дисковые (передние 2x300 мм + задний 220 мм), ABS","Телескопическая вилка 41 мм + задний моноамортизатор с регулировкой","Алюминиевая периметральная","Chain, 6-speed","Зелёный","","649","","15","6-ступенчатая","Жидкостное","/rent/kawasaki-ex650k","https://t.me/oneBikePlsBot/app?startapp=rent_kawasaki-ex650k",""
"kayo-tsd110","Kayo","TSD 110","Питбайк","ICE","2025","A (бензиновый мотоцикл — требуется категория А)","Kayo TSD 110 — лёгкий питбайк для начинающих и подростков. Полуавтоматическая 4-ступенчатая коробка передач без сцепления, двигатель 107 см³, дисковые тормоза, вес всего 60 кг. Идеален для обучения и первых выездов на лёгкое бездорожье.","4000","400","2800","3200","3600","4000","5000","3500","3000","2500","10000","https://rental.vip-bike.ru/supabase-mirror/carpix/kayo-tsd110/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/kayo-tsd110/image_1.jpg","Полуавтоматическая 4-ступенчатая (без сцепления); Электростартер + кикстартер; Дисковые гидравлические тормоза; Перевёрнутая вилка; Лёгкий вес 60 кг; Низкая посадка; Идеален для обучения; Для подростков и начинающих","5.1","","","7","7.2","70","120","Бензин, 3.5 л","","60","740","Дисковые гидравлические (передний + задний)","Телескопическая вилка + задний моноамортизатор","Стальная","Цепь 428, барабанная","Чёрный/Синий","","107","АИ-92","3.5","4-??????????? ??????????? (??? ?????????)","Воздушное","","https://t.me/oneBikePlsBot/app?startapp=rent_kayo-tsd110",""
"leopard-asaka","Leopard","Asaka","Макси-скутер","ICE","2023","A (бензиновый мотоцикл — требуется категория А)","Leopard Asaka — стильный макси-скутер с V-образным двухцилиндровым двигателем 250 куб. см (18 л.с., 17 Нм). Воздушно-масляное охлаждение, 5-ступенчатая КПП, дисковые тормоза. Ветровое стекло, просторное седло и кофр — комфорт в городе и на трассе. Полноценный мотоцикл категории А.","6000","1000","3000","4000","5000","6000","8000","5000","6500","4000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/leopard-asaka/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/leopard-asaka/image_1.jpg","250cc V-twin двигатель 18 л.с.; Охлаждение воздушно-масляное; 5-ступенчатая коробка передач; Дисковые тормоза; Ветровое стекло и кофр; Категория А — полноценный мотоцикл; Стальная рама","","","","18","17","120","","","","165","720","Дисковые","Телескопическая вилка спереди, двойные амортизаторы сзади","Стальная трубчатая","Chain","Чёрный","","250","АИ-92","14","5-ступенчатая","Воздушно-масляное","","https://t.me/oneBikePlsBot/app?startapp=rent_leopard-asaka",""
"livewire-one","LiveWire","ONE","Электро-супербайк","Electric","2025","B или M (электро, для дорог общего пользования)","Электрический sport tourer LiveWire ONE: 100 л.с., 75 кВт, 15,4 кВт⋅ч, разгон 0–96 км/ч за 3 секунды, быстрая зарядка DC 0–80% за 40 минут, запас хода до 235 км в городе.","20000","8000","15000","16000","18000","20000","25000","16000","13000","12000","50000","https://rental.vip-bike.ru/supabase-mirror/carpix/livewire-one/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/livewire-one/image_1.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/livewire-one/image_2.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/livewire-one/image_3.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/livewire-one/image_4.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/livewire-one/image_5.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/livewire-one/image_6.jpg","Привод Revelation™ от Harley-Davidson; Лёгкая литая алюминиевая рама с низким центром тяжести; Подвеска SHOWA® SFF-BP® спереди и SHOWA® BFRC™ сзади; Bluetooth-связь со смартфоном; Быстрая зарядка DC: 0–80% за 40 минут; 0–100% за 60 минут; Аккумулятор 15; 4 кВт⋅ч и поддержка зарядки Level 1 / Level 2; Режимы езды: Sport / Road / Range / Rain; Системы безопасности: C-ABS; DSCS; C-TCS; Инфотейнмент: 4.3"" TFT-дисплей и USB Type-C","75","","","","114","177","","15.4 kWh","","255","","","","","Direct drive","Liquid Black","","","","","","","/rent/livewire-one","https://t.me/oneBikePlsBot/app?startapp=rent_livewire-one",""
"motoland-breakout","Motoland","Breakout 300","Круизер, бензиновый","ICE","2025","A (бензиновый мотоцикл — требуется категория А)","Motoland Breakout 300 — доступный круизер в стиле чоппера, построенный на базе популярного Motoland Wolf 300. Оснащён проверенным 4-тактным двигателем 175FMM объёмом 300 см³ с балансирным валом и 6-ступенчатой КПП. Мотоцикл отличается прямой комфортной посадкой, широкой круизерной резиной и богатой комплектацией с кофрами и защитными дугами.","6000","600","4200","4800","5400","6000","8000","5000","4000","3500","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/motoland-breakout/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/motoland-breakout/image_1.jpg","Кофры в комплекте; LED оптика; Цифровая приборная панель LCD; Дисковые гидравлические тормоза; Электростартер; Защитные дуги; Спинка пассажира; Масляный радиатор","18","","","25","20","130","500","Бензин, 15 л","","165","750","Дисковые гидравлические (передний 280 мм + задний 220 мм)","Телескопическая вилка, задний амортизатор","Стальная сварная","Цепь, 6-ступенчатая","Чёрный","","300","АИ-92","15","6-ступенчатая","Воздушно-масляное","/rent/motoland-breakout","https://t.me/oneBikePlsBot/app?startapp=rent_motoland-breakout",""
"nibbler-regumoto-4v","Regulmoto","Nibbler 300 4V","Бензиновый нейкед","ICE","2025","A (бензиновый мотоцикл — требуется категория А)","Regulmoto Nibbler 300 4V — лёгкий дорожный мотоцикл в стиле нейкед с эксклюзивным 4-клапанным двигателем LONCIN FE300 и масляным охлаждением. Вес всего 132 кг, 6-ступенчатая КПП, радиальные 4-поршневые тормоза, полная LED-оптика. Компактный и манёвренный — идеален для города и начинающих райдеров. Категория А1.","6000","600","4200","4800","5400","6000","8000","5000","4000","3500","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/nibbler-regumoto-4v/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/nibbler-regumoto-4v/image_1.jpg","Эксклюзивный 4V двигатель LONCIN FE300; Масляное охлаждение; 6-ступенчатая КПП; Радиальные 4-поршневые передние тормоза; Полное LED-освещение с противотуманками; LED-приборная панель; Металлический багажник под кофр; Электростартер","19.9","","","27","22","150","400","Бензин, 12 л","","132","810","Гидравлические дисковые (радиальные 4-поршневые передние)","Телескопическая перевернутая вилка + задний моноамортизатор","Стальная","Chain","Серый","","300","АИ-92","12","6-ступенчатая","Воздушно-масляное","/rent/nibbler-regumoto-4v","https://t.me/oneBikePlsBot/app?startapp=rent_nibbler-regumoto-4v",""
